# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Actual Probability
80,3800,1,335.3,3782,0.8789924267
80,3900,1,343.2,3882,0.8789924267
80,4000,1,352.1,3982,0.8789924267
80,4100,1,360.5,4082,0.8789924267
80,4200,1,368.9,4182,0.8789924267
80,4300,1,378.2,4282,0.8789924267
80,4400,1,387.4,4382,0.8789924267
80,4500,1,396,4482,0.8789924267
80,4600,1,404.7,4582,0.8789924267
80,4700,1,413.3,4682,0.8789924267
80,4800,1,422.3,4782,0.8789924267
80,4900,1,430.9,4882,0.8789924267
80,5000,1,439.9,4982,0.8789924267
81,0,0,0,0,0.9770026532
81,100,0,9,67,0.9770026532
81,200,0,18.8,167,0.9770026532
81,300,0,28.6,267,0.9770026532
81,400,0,38.3,367,0.9770026532
81,500,0,48,467,0.9770026532
81,600,0,57.8,567,0.9770026532
81,700,0,67.7,667,0.9770026532
81,800,0,77.3,767,0.9770026532
81,900,0,87.2,867,0.9770026532
81,1000,0,96.8,967,0.9770026532
81,1100,0,106.7,1067,0.9770026532
81,1200,0,116.7,1167,0.9770026532
81,1300,0,126.5,1267,0.9770026532
81,1400,0,136.3,1367,0.9770026532
81,1500,0,146.3,1467,0.9770026532
81,1600,0,156.2,1567,0.9770026532
81,1700,0,165.9,1667,0.9770026532
81,1800,0,175.7,1767,0.9770026532
81,1900,0,185.2,1867,0.9770026532
81,2000,0,195,1967,0.9770026532
81,2100,0,204.6,2067,0.9770026532
81,2200,0,214,2167,0.9770026532
81,2300,0,223.9,2267,0.9770026532
81,2400,0,233.7,2367,0.9770026532
81,2500,0,243.4,2467,0.9770026532
81,2600,0,252.8,2567,0.9770026532
81,2700,0,262.8,2667,0.9770026532
81,2800,0,272.3,2767,0.9770026532
81,2900,0,282,2867,0.9770026532
81,3000,0,291.9,2967,0.9770026532
81,3100,0,301.4,3067,0.9770026532
81,3200,0,311.2,3167,0.9770026532
81,3300,0,321,3267,0.9770026532
81,3400,0,330.7,3367,0.9770026532
81,3500,0,340.6,3467,0.9770026532
81,3600,0,350.4,3567,0.9770026532
81,3700,0,360.3,3667,0.9770026532
